Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point
"B,4"	E514Cou_X+_1.6_X+_dATP_Burst_TLD_8/9/76_D08.fsa		564	6950	2486
"Y,1"	E514Cou_X+_1.6_X+_dATP_Burst_TLD_8/9/77_D08.fsa		376	5141	2824
"B,1"	E514Cou_X+_2_X+_dATP_Burst_TLD_8/9/78_E08.fsa		70	788	2441
"B,2"	E514Cou_X+_2_X+_dATP_Burst_TLD_8/9/79_E08.fsa		457	5601	2473
"B,3"	E514Cou_X+_2_X+_dATP_Burst_TLD_8/9/80_E08.fsa		460	5627	2495
"Y,1"	E514Cou_X+_2_X+_dATP_Burst_TLD_8/9/81_E08.fsa		378	5260	2834
"B,1"	E514Cou_X+_3_X+_dATP_Burst_TLD_8/9/82_F08.fsa		30	326	2429
"B,2"	E514Cou_X+_3_X+_dATP_Burst_TLD_8/9/83_F08.fsa		35	430	2451
"B,3"	E514Cou_X+_3_X+_dATP_Burst_TLD_8/9/84_F08.fsa		104	1162	2487
"B,4"	E514Cou_X+_3_X+_dATP_Burst_TLD_8/9/85_F08.fsa		562	7089	2521
"B,5"	E514Cou_X+_3_X+_dATP_Burst_TLD_8/9/86_F08.fsa		415	5199	2543
"Y,1"	E514Cou_X+_3_X+_dATP_Burst_TLD_8/9/87_F08.fsa		364	5047	2887
"B,1"	E514Cou_X+_5_X+_dATP_Burst_TLD_8/9/88_G08.fsa		37	410	2496
"B,2"	E514Cou_X+_5_X+_dATP_Burst_TLD_8/9/89_G08.fsa		131	1483	2533
"B,3"	E514Cou_X+_5_X+_dATP_Burst_TLD_8/9/90_G08.fsa		689	8729	2567
"B,4"	E514Cou_X+_5_X+_dATP_Burst_TLD_8/9/91_G08.fsa		309	3795	2590
"Y,1"	E514Cou_X+_5_X+_dATP_Burst_TLD_8/9/92_G08.fsa		357	5159	2938
"B,1"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/93_H08.fsa		30	498	2070
"B,2"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/94_H08.fsa		33	412	2514
"B,3"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/95_H08.fsa		127	1474	2551
"B,4"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/96_H08.fsa		644	8356	2584
"B,5"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/97_H08.fsa		171	2166	2606
"Y,1"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/98_H08.fsa		32	84	1530
"Y,2"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/99_H08.fsa		31	97	2147
"Y,3"	E514Cou_X+_8_X+_dATP_Burst_TLD_8/9/100_H08.fsa		222	3330	2955
