Time,27mer,28mer,Total,27mer/Total,28mer/Total
0.0,59887.0,0.0,59887.0,150.0,0.0
0.0025,53118.0,15267.0,68385.0,116.51239306865541,33.487606931344594
0.004,49880.0,18019.0,67899.0,110.19308089957141,39.80691910042857
0.006,40684.0,18866.0,59550.0,102.47858942065491,47.521410579345094
0.008,44594.0,22906.0,67500.0,99.09777777777778,50.90222222222222
0.01,43181.0,25218.0,68399.0,94.69655989122649,55.303440108773515
0.012,40473.0,24558.0,65031.0,93.35470775476311,56.64529224523688
0.015,34662.0,21777.0,56439.0,92.12246850582045,57.87753149417956
